student_id,name,password
20210001,学生01,123456
20210002,学生02,123456
20210003,学生03,123456
20210004,学生04,123456
20210005,学生05,123456
20210006,学生06,123456
20210007,学生07,123456
20210008,学生08,123456
20210009,学生09,123456
20210010,学生10,123456
20210011,学生11,123456
20210012,学生12,123456
20210013,学生13,123456
20210014,学生14,123456
20210015,学生15,123456
20210016,学生16,123456
20210017,学生17,123456
20210018,学生18,123456
20210019,学生19,123456
20210020,学生20,123456
20210021,学生21,123456
20210022,学生22,123456
20210023,学生23,123456
20210024,学生24,123456
20210025,学生25,123456
20210026,学生26,123456
20210027,学生27,123456
20210028,学生28,123456
20210029,学生29,123456
20210030,学生30,123456
20210031,学生31,123456
20210032,学生32,123456
20210033,学生33,123456
20210034,学生34,123456
20210035,学生35,123456
20210036,学生36,123456
20210037,学生37,123456
20210038,学生38,123456
20210039,学生39,123456
20210040,学生40,123456
